source,definition,rows,target_rate,prediction_mean,auc_exp016,log_loss,calibration_gap,weak_candidate,weak_reasons,severity,auc_exp022,auc_exp019,auc_exp003,auc_exp006,auc_exp008,best_model,best_model_auc,best_alt_delta_vs_exp016
screen_social_grid,6<screen<=7 & 2<social<=3,22925,0.7048636859323882,0.7064211609128267,0.8920495121483143,0.3687290909307062,0.0015574749804384558,True,low_auc+high_logloss,0.22957876383682238,0.8883947701434407,0.8884703748664363,0.8826085667267107,0.8838052360139631,0.8861104483477148,EXP-016,0.8920495121483143,0.0
weekend_decile,"(7.73, 8.68]",57041,0.5727809821005944,0.5740473705611803,0.9153965462665533,0.36455450374417336,0.00126638846058591,True,low_auc+high_logloss+mixed_classes,0.2289850739116036,0.9132928521866444,0.9124370449519024,0.9097946468572953,0.9096165724351788,0.9117879173372152,EXP-016,0.9153965462665533,0.0
region_prediction_tertile,ambiguous_zone & prediction_tertile=high,34067,0.9822702321895089,0.9792088349585587,0.7429149779543008,0.08232273869047191,0.0030613972309502246,True,low_auc,0.225848149633477,0.738968393083356,0.7322571158458496,0.713629395558562,0.7086775489702672,0.7162992416453636,EXP-016,0.7429149779543008,0.0
weekend_decile,"(6.76, 7.73]",59180,0.3961980398783373,0.3972036746227199,0.9058866284105088,0.37758341987789157,0.0010056347443825886,True,low_auc+high_logloss,0.22404413628575734,0.9047524274062069,0.9032746711069285,0.90158511450172,0.9012947769384282,0.9028124177419027,EXP-016,0.9058866284105088,0.0
oof_quantile,q80-90,69423,0.999899168863345,0.9999724100236494,0.7527124252951152,0.001046496983311701,7.324116030449357e-05,True,low_auc,0.21306254622201692,0.8369807701806088,0.7296135925846656,0.8173825713297881,0.838631274798729,0.8169503943100808,EXP-006,0.838631274798729,0.08591884950361384
screen_band,4<=screen<5,60129,0.3133596101714647,0.31284937811615393,0.9076578401007965,0.35251933328854534,0.0005102320553107553,True,low_auc+high_logloss,0.19671343531705157,0.9060083381266759,0.9044737842067144,0.9024308835513295,0.903002750168976,0.904682216934746,EXP-016,0.9076578401007965,0.0
weekend_decile,"(5.63, 6.76]",58263,0.3221083706640578,0.32132579530277977,0.9100869603565375,0.350697993307733,0.0007825753612780151,True,low_auc+high_logloss,0.19273531838646554,0.9086806005900812,0.9079385227490293,0.9055697407303246,0.9067103499511329,0.90715049844916,EXP-016,0.9100869603565375,0.0
screen_band,screen<3,25097,0.23182053631908195,0.22932353828755617,0.8953956646205364,0.33188630115177714,0.0024969980315257823,True,low_auc+high_logloss,0.1903293446367585,0.8934616025634041,0.89211381403052,0.888914497935911,0.8930951966555196,0.8919413095798983,EXP-016,0.8953956646205364,0.0
screen_social_grid,6<screen<=7 & social<=1,5609,0.2440720270993047,0.2407039239083625,0.9008315875794204,0.3257198922466477,0.00336810319094219,True,low_auc+high_logloss,0.17959811793216152,0.8994680044654547,0.8965573617983102,0.8943720109706852,0.8881612042945546,0.8944343757321831,EXP-016,0.9008315875794204,0.0
screen_band,6.5<=screen<7,30528,0.6920204402515723,0.6924820725818283,0.914431266756689,0.3366852244311135,0.00046163233025597883,True,low_auc+high_logloss,0.1740573000786725,0.9123305617616714,0.9109600961305031,0.9069037321335911,0.9065851696478276,0.908649852286691,EXP-016,0.914431266756689,0.0
weekend_decile,"(0.509, 5.63]",58010,0.2644199275986899,0.2636215227833417,0.9097163366737019,0.32796149261796104,0.0007984048153481527,True,low_auc+high_logloss,0.1703852708335993,0.9078471776995305,0.906720646491401,0.905232561450092,0.9059813592879509,0.906774142855067,EXP-016,0.9097163366737019,0.0
social_band,1.5<=social<2,84083,0.6143810282696859,0.6145821626439383,0.9229835351586064,0.33870707203871797,0.00020113437425239855,True,high_logloss,0.16726638132835595,0.9211314167116902,0.9199414350909128,0.9186543693905117,0.917731202868445,0.9201077517641439,EXP-016,0.9229835351586064,0.0
screen_band,3<=screen<4,35647,0.28900047689847674,0.2884743332050394,0.9176490522806241,0.32588122173284023,0.000526143693437342,True,high_logloss,0.16010002321964548,0.9165499642116045,0.9153282297001821,0.9144791357044099,0.9146206654132972,0.9155617878058564,EXP-016,0.9176490522806241,0.0
