encoding,feature,granularity,smoothing,auc,orientation,fold_std,coverage,unseen_rate
TE,sleep_hours,round_0.5,10.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
TE,sleep_hours,round_0.5,20.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
TE,sleep_hours,round_0.5,50.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
TE,sleep_hours,round_0.5,100.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
TE,sleep_hours,round_0.5,200.0,0.5357812238245367,1,0.001090248193461167,1.0,0.0
count,sleep_hours,round_1.0,,0.5031673859337966,-1,0.0006452605372241415,1.0,0.0
TE,sleep_hours,round_1.0,1.0,0.5204571592253724,1,0.0004359980636714319,1.0,0.0
TE,sleep_hours,round_1.0,5.0,0.5204571592253724,1,0.0004359980636714319,1.0,0.0
TE,sleep_hours,round_1.0,10.0,0.5204571592253724,1,0.0004359980636714319,1.0,0.0
TE,sleep_hours,round_1.0,20.0,0.5204598552755548,1,0.0004359980636714319,1.0,0.0
TE,sleep_hours,round_1.0,50.0,0.5204636167472217,1,0.000442616698895939,1.0,0.0
TE,sleep_hours,round_1.0,100.0,0.520463718164224,1,0.000442616698895939,1.0,0.0
TE,sleep_hours,round_1.0,200.0,0.5204642854113475,1,0.0004419201227627464,1.0,0.0
count,notifications_per_day,exact,,0.5292725643266979,1,0.0010604328314047467,1.0,0.0
TE,notifications_per_day,exact,1.0,0.7485750184685684,1,0.0010447776621267744,1.0,0.0
TE,notifications_per_day,exact,5.0,0.7485757986477567,1,0.001038864894315277,1.0,0.0
TE,notifications_per_day,exact,10.0,0.7485731020495388,1,0.001034774869230604,1.0,0.0
TE,notifications_per_day,exact,20.0,0.7485671849819693,1,0.0010293426892729403,1.0,0.0
TE,notifications_per_day,exact,50.0,0.7485535422385494,1,0.001023928914030415,1.0,0.0
TE,notifications_per_day,exact,100.0,0.7484981267727087,1,0.0010198516161194764,1.0,0.0
TE,notifications_per_day,exact,200.0,0.748363279872711,1,0.0010103576055381144,1.0,0.0
count,app_opens_per_day,exact,,0.5413694114262286,1,0.002324882790244085,1.0,0.0
TE,app_opens_per_day,exact,1.0,0.7349450362011166,1,0.0010003329584119178,1.0,0.0
TE,app_opens_per_day,exact,5.0,0.7349476065380592,1,0.000999850276855317,1.0,0.0
TE,app_opens_per_day,exact,10.0,0.7349485614999567,1,0.0009971574541476598,1.0,0.0
TE,app_opens_per_day,exact,20.0,0.7349513701206776,1,0.0009921500569765149,1.0,0.0
TE,app_opens_per_day,exact,50.0,0.7349452335141714,1,0.0009881051134226241,1.0,0.0
TE,app_opens_per_day,exact,100.0,0.7349346490216141,1,0.0009922546775011653,1.0,0.0
TE,app_opens_per_day,exact,200.0,0.734876683952838,1,0.00100129172156118,1.0,0.0
count,age,exact,,0.5141026047703845,-1,0.0009981527356592223,1.0,0.0
TE,age,exact,1.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,5.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,10.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,20.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,50.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,100.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
TE,age,exact,200.0,0.5502857580582906,1,0.0014920264202865521,1.0,0.0
count,gender,exact,,0.5108407063958256,1,0.000750796032806546,1.0,0.0
TE,gender,exact,1.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,5.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,10.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,20.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,50.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,100.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
TE,gender,exact,200.0,0.5113646756581771,1,0.0010560108073135483,1.0,0.0
count,stress_level,exact,,0.5025527664038614,1,0.0006252851482067989,1.0,0.0
TE,stress_level,exact,1.0,0.5023246032164093,1,0.0011249015199016514,1.0,0.0
TE,stress_level,exact,5.0,0.5023246032164093,1,0.0011249015199016514,1.0,0.0
TE,stress_level,exact,10.0,0.5023246032164093,1,0.0011249015199016514,1.0,0.0
TE,stress_level,exact,20.0,0.5023246032164093,1,0.0011249015199016514,1.0,0.0
TE,stress_level,exact,50.0,0.5023246032164093,1,0.0011249015199016514,1.0,0.0
