label,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds,effective_bins
social_over_screen_round_1.0,4,0.9641624617750343,229809,11614995,90.72527313232422,1.0538711547851562,43.360233299899846,{}
social_over_screen_round_1.0,5,0.9630037103220128,229993,11615016,90.72543716430664,1.0486717224121094,42.43790540006012,{}
social_over_screen_round_3.0,1,0.9630090291660707,230773,11614995,90.72527313232422,1.0555572509765625,45.97036190005019,{}
social_over_screen_round_3.0,2,0.9633535024805486,230559,11614995,90.72527313232422,1.0555534362792969,55.53898820001632,{}
social_over_screen_round_3.0,3,0.96347044590017,230673,11614995,90.72527313232422,1.0560264587402344,55.078685800079256,{}
social_over_screen_round_3.0,4,0.9641566569244814,230642,11614995,90.72527313232422,1.0557823181152344,53.910516700008884,{}
social_over_screen_round_3.0,5,0.9629504745881726,230823,11615016,90.72543716430664,1.0555534362792969,55.53893500007689,{}
social_over_screen_step_0.01,1,0.963127234079505,230023,11614995,90.72527313232422,1.056854248046875,50.99959499994293,{}
social_over_screen_step_0.01,2,0.9635893769590775,229808,11614995,90.72527313232422,1.056854248046875,50.89819229999557,{}
social_over_screen_step_0.01,3,0.9636894335637918,229923,11614995,90.72527313232422,1.0568733215332031,53.51909129996784,{}
social_over_screen_step_0.01,4,0.9643283641957907,229888,11614995,90.72527313232422,1.0568923950195312,49.90370530006476,{}
social_over_screen_step_0.01,5,0.963140296582543,230073,11615016,90.72543716430664,1.0568809509277344,45.70609740004875,{}
social_over_screen_step_0.02,1,0.9631216301748691,229978,11614995,90.72527313232422,1.0620689392089844,49.236081700073555,{}
social_over_screen_step_0.02,2,0.9635984672246318,229765,11614995,90.72527313232422,1.0587806701660156,53.53467470011674,{}
social_over_screen_step_0.02,3,0.9637034036182653,229878,11614995,90.72527313232422,1.0587692260742188,54.427680999971926,{}
social_over_screen_step_0.02,4,0.9643636598894396,229844,11614995,90.72527313232422,1.0594024658203125,56.33261679997668,{}
social_over_screen_step_0.02,5,0.9631334009211665,230028,11615016,90.72543716430664,1.0594291687011719,54.41878889990039,{}
social_over_screen_step_0.025,1,0.9631150456440087,229969,11614995,90.72527313232422,1.0659255981445312,52.48332290002145,{}
social_over_screen_step_0.025,2,0.963592502277016,229756,11614995,90.72527313232422,1.0658912658691406,51.52103449986316,{}
social_over_screen_step_0.025,3,0.9636866388424822,229869,11614995,90.72527313232422,1.0664749145507812,53.03493160009384,{}
social_over_screen_step_0.025,4,0.9643369427089274,229835,11614995,90.72527313232422,1.0665512084960938,52.74399079987779,{}
social_over_screen_step_0.025,5,0.9631310052763542,230019,11615016,90.72543716430664,1.0678176879882812,49.53931950009428,{}
social_over_screen_step_0.05,1,0.9630780764159292,229952,11614995,90.72527313232422,1.0711135864257812,52.862724100006744,{}
social_over_screen_step_0.05,2,0.9635254109514948,229739,11614995,90.72527313232422,1.07110595703125,54.816546299960464,{}
social_over_screen_step_0.05,3,0.9636377861498562,229852,11614995,90.72527313232422,1.0319900512695312,52.89150600018911,{}
social_over_screen_step_0.05,4,0.9642749663703878,229818,11614995,90.72527313232422,1.0319938659667969,49.135711499955505,{}
social_over_screen_step_0.05,5,0.9631245046604103,230002,11615016,90.72543716430664,1.0319976806640625,48.71592139988206,{}
social_over_screen_step_0.1,1,0.9629782905300197,229943,11614995,90.72527313232422,1.0361900329589844,48.05019350000657,{}
