label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,iterations,seconds
gran_social_over_screen_3,"[('social_over_screen', 3)]",4,0.9617482467827109,225313,8849520,69.62637329101562,1.2250137329101562,10,25.73205229989253
gran_social_over_screen_3,"[('social_over_screen', 3)]",5,0.9604396853227322,225384,8849536,69.62649917602539,1.2250137329101562,10,23.45588760008104
new_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2)]",1,0.9628623734061497,225004,10508805,82.28571319580078,1.3254508972167969,12,36.24166669999249
new_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2)]",2,0.9633889283323481,224792,10508805,82.28571319580078,1.330596923828125,12,37.41909049986862
new_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2)]",3,0.9634654169241301,224908,10508805,82.28571319580078,1.3306007385253906,12,37.30497709987685
new_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2)]",4,0.9640572620204639,224908,10508805,82.28571319580078,1.3306007385253906,12,35.63981149997562
new_social_over_weekend,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('social_over_weekend', 2), ('work_over_screen', 2)]",5,0.9629307880305951,224982,10508824,82.28586196899414,1.3306007385253906,12,37.36844179988839
new_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9629524496969795,226909,10508805,82.28571319580078,1.3299942016601562,11,31.56901720003225
new_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",2,0.9634329174741088,226679,10508805,82.28571319580078,1.3351402282714844,12,38.42988810013048
new_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",3,0.9635199270562261,226810,10508805,82.28571319580078,1.33514404296875,11,31.500460000010207
new_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",4,0.9640985581824715,226812,10508805,82.28571319580078,1.33514404296875,11,30.821805000072345
new_gaming_over_social,"[('gaming_over_screen', 2), ('gaming_over_social', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",5,0.9629270253306832,226915,10508824,82.28586196899414,1.33514404296875,11,30.9096850999631
new_work_over_social,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",1,0.9629487466595295,227802,10508805,82.28571319580078,1.3365821838378906,12,39.70686579984613
new_work_over_social,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",2,0.9635225553374831,227598,10508805,82.28571319580078,1.3417282104492188,12,38.307140100048855
new_work_over_social,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",3,0.9635462750747317,227701,10508805,82.28571319580078,1.3417320251464844,11,31.591374299954623
new_work_over_social,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",4,0.9641865359585532,227668,10508805,82.28571319580078,1.3417320251464844,11,31.20724709983915
new_work_over_social,"[('gaming_over_screen', 2), ('social_over_screen', 2), ('work_over_screen', 2), ('work_over_social', 2)]",5,0.963075444178745,227827,10508824,82.28586196899414,1.3417320251464844,11,30.724520100047812
new_gaming_over_work,"[('gaming_over_screen', 2), ('gaming_over_work', 2), ('social_over_screen', 2), ('work_over_screen', 2)]",1,0.9628068184567724,225583,10508805,82.28571319580078,1.3420753479003906,11,33.28882119990885
