config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-C|manhattan|mean|k=20,SPACE-C,manhattan,mean,20,0.9261887870647943,0.9261917162722687,0.000617597287745356,0.9254317448303596,0.9258506906807389,0.9267753077976718,0.927058219858863,0.9258426181937102,0.8855743527317523,0.9087461507828978,-0.0024848748209404014,0.1927767810617744
SPACE-C|euclidean|mean|k=20,SPACE-C,euclidean,mean,20,0.9251942707959742,0.9252113555237947,0.0013571941264806171,0.9226896258083956,0.9254287093291569,0.9263632780896599,0.9264249659490229,0.9251501984427384,0.8834519330706637,0.9076155021787217,-0.0031432803810645033,0.19105332624811566
SPACE-A|manhattan|weighted|k=20,SPACE-A,manhattan,weighted,20,0.9248409735608685,0.9248434170141753,0.0007840285324970495,0.9237180632064751,0.9242705590580933,0.9256058049703086,0.9257908066408176,0.9248318511951816,0.8810591730834735,0.9113576246708858,-0.004453954135238775,0.17250032672977667
SPACE-A|manhattan|mean|k=20,SPACE-A,manhattan,mean,20,0.9244862568936836,0.9244885450669675,0.0007828105516223017,0.9233375058915749,0.9239134996026579,0.9252124211151378,0.9254267910821791,0.9245525076432881,0.8805280021713239,0.9112274334302886,-0.004544371853419408,0.17226314744876733
SPACE-C|manhattan|weighted|k=50,SPACE-C,manhattan,weighted,50,0.9230865632497756,0.9230995696206087,0.0004423706093708527,0.9230095651994534,0.9224551691149485,0.923700674026775,0.9234702716455538,0.9228621681163125,0.8740124279545354,0.9154107875483883,-0.0011852582431201206,0.163950282877515
SPACE-C|euclidean|weighted|k=50,SPACE-C,euclidean,weighted,50,0.9226049660627113,0.9226139924753248,0.0005054312177444111,0.9222639027271253,0.9220639888144369,0.9233988007392897,0.9230105062454212,0.9223327638503508,0.8729611851534514,0.914953628826753,-0.0017494617763118522,0.16293192809756615
SPACE-A|euclidean|weighted|k=20,SPACE-A,euclidean,weighted,20,0.9224287387778468,0.9224324224997478,0.0007668070312230463,0.9214084370119437,0.9219461791961274,0.9233057146997955,0.923338046187447,0.9221637354034247,0.8746281949231153,0.9079309484474555,-0.004371528880133684,0.17185959684668953
SPACE-B|manhattan|mean|k=10,SPACE-B,manhattan,mean,10,0.9222069111591363,0.9222107234315157,0.000804877948911261,0.9214067115918562,0.9216134274730956,0.9232037486014295,0.9231785723868613,0.9216511571043351,0.8842426261151645,0.8894042816455441,9.671713535461482e-05,0.21784386446377915
SPACE-A|euclidean|mean|k=20,SPACE-A,euclidean,mean,20,0.922079157786261,0.9220826136467677,0.0007739111491600896,0.9210187106515562,0.9215876567935227,0.9229595051821472,0.9229787290082193,0.9218684665983934,0.8740827425564961,0.9078313001373274,-0.004455775871518855,0.1715537926119971
SPACE-B|euclidean|mean|k=10,SPACE-B,euclidean,mean,10,0.9212805625572147,0.9212832991393165,0.0008499363593314353,0.9201805625671493,0.9209829479869976,0.922102432153348,0.9224309165665562,0.9207196364225319,0.8825674117180548,0.8881405244076216,-6.713666713544755e-05,0.2166427301441755
SPACE-B|manhattan|weighted|k=10,SPACE-B,manhattan,weighted,10,0.9212444823093222,0.9212481365587758,0.0008163229305089973,0.9204676725458558,0.9205848545887537,0.9222323077874507,0.9222553077222154,0.9207005401496032,0.8794265777331162,0.8875263652370304,6.0094571730964036e-05,0.21630130200004713
SPACE-B|euclidean|weighted|k=10,SPACE-B,euclidean,weighted,10,0.9204158039993918,0.920419915557121,0.0008518075447466871,0.9193928779142007,0.9200056824054779,0.9212409400904091,0.9216061240277704,0.9198539533477467,0.877983022792583,0.8863603402171057,-4.8236550803608944e-05,0.2152470222818102
SPACE-C|manhattan|weighted|k=20,SPACE-C,manhattan,weighted,20,0.9202646742003318,0.920260921923868,0.0005484639677106073,0.9202329557898266,0.9195521442990195,0.9209917113348574,0.9207470372265669,0.9197807609690695,0.8653369180771675,0.9003185645786761,-0.0005156277395923656,0.18523894066110333
SPACE-C|euclidean|weighted|k=20,SPACE-C,euclidean,weighted,20,0.919548899649411,0.9195635904730377,0.000965094191275501,0.9179971910475585,0.9193227252080782,0.9207964383340916,0.920330652802332,0.9193709449731281,0.8640342269363568,0.8995846347517716,-0.0013103676096388524,0.18383756692984862
SPACE-C|manhattan|mean|k=10,SPACE-C,manhattan,mean,10,0.9182310033543104,0.9182418965551333,0.000537630337761902,0.9178889158309496,0.9181459892157172,0.9187388069461081,0.9189470511073121,0.9174887196755801,0.870435990092198,0.8866418012877505,-0.0016493831838063269,0.20989149651905006
SPACE-C|euclidean|mean|k=10,SPACE-C,euclidean,mean,10,0.9155808457252069,0.9155887318251932,0.003708008392167577,0.9082303492168178,0.9173118095594543,0.9170975467889406,0.9183005743471977,0.9170033792135546,0.8673467640159978,0.8816220639402069,-0.0023959805997456826,0.2094393034509298
SPACE-A|manhattan|weighted|k=10,SPACE-A,manhattan,weighted,10,0.91550709762658,0.9155093063218258,0.0007585014391258095,0.914678163655381,0.9149610097494787,0.916491224579528,0.9163569196356423,0.9150592139890993,0.8634729750489691,0.886027033100379,-0.00445429793984613,0.19000683323312445
SPACE-A|manhattan|mean|k=10,SPACE-A,manhattan,mean,10,0.915004808174189,0.9150067996023814,0.0007496839834064527,0.9141136813290623,0.914458693797674,0.9159185458417787,0.9158800594973968,0.9146630175459953,0.8632548235036389,0.8863458104655862,-0.004622302833606185,0.18962705835106744
SPACE-C|manhattan|weighted|k=10,SPACE-C,manhattan,weighted,10,0.9138326053848146,0.9138483544505609,0.0004475445751711604,0.9139399168992981,0.9134523215045213,0.9144200991150261,0.9142013616189222,0.9132280731150371,0.8504069934495437,0.8800214393858465,0.00022761961001967028,0.20383117347644958
SPACE-A|euclidean|weighted|k=10,SPACE-A,euclidean,weighted,10,0.9132055925815112,0.9132075745369723,0.0007885183145657118,0.91237573206047,0.9130188540132744,0.9140935772228646,0.9141656897859778,0.912384019602275,0.8572674323743219,0.882598836282532,-0.003968101277543758,0.18929060350930096
SPACE-A|euclidean|mean|k=10,SPACE-A,euclidean,mean,10,0.9127338774070627,0.912736377816606,0.0007983625149900242,0.9118064095254881,0.9126057264605866,0.9136217077490002,0.9136917295358127,0.9119563158121428,0.8570193273282511,0.8829187072615946,-0.004056999808868744,0.1889227793678494
SPACE-C|euclidean|weighted|k=10,SPACE-C,euclidean,weighted,10,0.9114833402083922,0.9114830391306079,0.003409464555102002,0.9047045295738037,0.9127688330182954,0.9131476564135014,0.9138567978534093,0.912937378794029,0.8485568640167117,0.8754399523743718,-0.0007216529979713944,0.2037635601617373
SPACE-B|manhattan|mean|k=5,SPACE-B,manhattan,mean,5,0.9033421407590794,0.9033446051816225,0.0007180421333599423,0.902748204613246,0.9027421228277579,0.9040508811756924,0.9043780196064632,0.9028037976849529,0.8557254454675716,0.8497035535473373,-0.00030581679131817645,0.23593728316068807
SPACE-B|euclidean|mean|k=5,SPACE-B,euclidean,mean,5,0.9022299233153003,0.9022328114312753,0.0010419976052454154,0.9013351985935115,0.9016144943893535,0.902931109418184,0.9039490846888738,0.9013341700664539,0.8536009271725915,0.8476395102673525,-0.0002990029583476578,0.2352990589869354
SPACE-C|manhattan|mean|k=5,SPACE-C,manhattan,mean,5,0.8992533325494234,0.8992618175853581,0.0028996901516646664,0.8998343027115339,0.9007381616331598,0.901530928416403,0.900642799348343,0.8935628958173505,0.8409385767135916,0.8461883543187112,-0.00041063217056749754,0.22698653489375106
SPACE-C|euclidean|mean|k=5,SPACE-C,euclidean,mean,5,0.8970442512958028,0.8970435564240129,0.004037941697065568,0.8914410508006996,0.8995866518381266,0.9008165980302523,0.8928671213496828,0.9005063601013028,0.8381714890693115,0.8411177814611199,-0.0003642646337467143,0.22842906340137245
SPACE-A|manhattan|mean|k=5,SPACE-A,manhattan,mean,5,0.8945515848835055,0.8945528835756102,0.0010141809363292387,0.8938438849469893,0.8941164084594725,0.8961534295706717,0.8952698929540928,0.8933808019468252,0.8297728053070517,0.8431654246470373,-0.004055647017750685,0.20699811349872504
SPACE-A|euclidean|mean|k=5,SPACE-A,euclidean,mean,5,0.891953588450298,0.8919538700708787,0.0007143354517372825,0.8912872108436618,0.8919067844468027,0.8927501789449399,0.8927690948822866,0.8910560812367023,0.824049635610335,0.839310363468619,-0.0039461157775536665,0.2057591652391459
SPACE-C|manhattan|distance_min|k=1,SPACE-C,manhattan,distance_min,1,0.4750291238488774,0.47514909763089896,0.001330305714402688,0.4747557913720168,0.47434311797739925,0.4748509438307308,0.4777463594692257,0.47404927550512244,-0.07030743230608391,-0.12102449138084388,0.0026352536981103293,0.0585100006255869
SPACE-C|euclidean|distance_min|k=1,SPACE-C,euclidean,distance_min,1,0.473531866921972,0.47365118182569577,0.0012787387648806165,0.4733891513391838,0.4733339795063911,0.4731943297055732,0.47607462936505573,0.472263819212275,-0.07085117313198162,-0.12536521418558455,0.002370470877352371,0.05911644478495728
