candidate,method,weights,auc,folds,std,cat_weight
seed_ensemble,rank,"{42: 0.2, 2026: 0.4, 777: 0.4}",0.9657847681787719,"[0.9651097879372194, 0.9657171175402735, 0.965992531806932, 0.9665546448996976, 0.9655501437477466]",0.00047981234247738145,
seed_ensemble,probability,"{42: 0.2, 2026: 0.5, 777: 0.3}",0.9657852502571289,"[0.9651079399705684, 0.9657166728966879, 0.9659961115366602, 0.9665592691929874, 0.9655458494998699]",0.00048256244366327264,
seed_ensemble,rank,"{42: 0.2, 2026: 0.5, 777: 0.3}",0.9657829780159433,"[0.9651067868150214, 0.9657132687409173, 0.9659928773730168, 0.9665565145593735, 0.9655450051124588]",0.00048190071837796606,
seed_ensemble,probability,"{42: 0.2, 2026: 0.6, 777: 0.2}",0.9657767891684667,"[0.9650994527964853, 0.9657063057872852, 0.9659891650748014, 0.9665543212803573, 0.9655354949708909]",0.00048407332959364,
seed_ensemble,rank,"{42: 0.2, 2026: 0.6, 777: 0.2}",0.9657747113530009,"[0.9650985385179344, 0.9657031247778963, 0.965986174735686, 0.9665519708220541, 0.9655346649187827]",0.00048348847090019445,
seed_ensemble,probability,"{42: 0.2, 2026: 0.7, 777: 0.1}",0.9657618827263712,"[0.9650851347655908, 0.965689326872166, 0.9659746756563223, 0.9665431148665434, 0.9655185737313403]",0.00048539788018540084,
seed_ensemble,rank,"{42: 0.2, 2026: 0.7, 777: 0.1}",0.9657601334936706,"[0.9650841604823561, 0.9656865751563273, 0.9659719413202755, 0.9665414680995293, 0.9655179200161463]",0.00048504920178793227,
seed_ensemble,probability,"{42: 0.2, 2026: 0.8, 777: 0.0}",0.9657405365786527,"[0.9650647305091155, 0.965667026061738, 0.9659525075412408, 0.9665257173140969, 0.9654956107324061]",0.0004865275107140997,
seed_ensemble,rank,"{42: 0.2, 2026: 0.8, 777: 0.0}",0.9657392891992544,"[0.9650642431137785, 0.9656648301186662, 0.9659508163732983, 0.9665246707207784, 0.9654950426484478]",0.0004863031227921129,
seed_ensemble,probability,"{42: 0.3, 2026: 0.0, 777: 0.7}",0.9657496355653401,"[0.9650832508976178, 0.9656965127184601, 0.9659362594654074, 0.9665069750478108, 0.9655292601289294]",0.0004698604339610271,
seed_ensemble,rank,"{42: 0.3, 2026: 0.0, 777: 0.7}",0.9657480219358893,"[0.9650818738345303, 0.9656949406718658, 0.9659338441817481, 0.9665053575854098, 0.965527934684267]",0.000469700660818773,
seed_ensemble,probability,"{42: 0.3, 2026: 0.1, 777: 0.6}",0.9657701562854263,"[0.9651000050171781, 0.9657132216759331, 0.9659637181414282, 0.9665301900099303, 0.9655454108142227]",0.0004728576172378238,
seed_ensemble,rank,"{42: 0.3, 2026: 0.1, 777: 0.6}",0.9657681463451642,"[0.9650987286807687, 0.965710961795524, 0.9659609078163637, 0.9665276826260591, 0.9655442126112332]",0.00047235328416312625,
seed_ensemble,probability,"{42: 0.3, 2026: 0.2, 777: 0.5}",0.9657842059350091,"[0.9651107926668052, 0.9657240072958033, 0.9659835664982768, 0.966547282591427, 0.9655553535521056]",0.00047571279922355825,
seed_ensemble,rank,"{42: 0.3, 2026: 0.2, 777: 0.5}",0.9657819623438979,"[0.9651095397994581, 0.9657212005228131, 0.9659806145976798, 0.9665444597072426, 0.9655540374951641]",0.00047511235735485656,
