label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds
diff_weekend_minus_social,"[('weekend_minus_social', 2)]",2,0.9633659826935761,231359,11614995,90.72527313232422,1.3326072692871094,37.838267100043595
diff_weekend_minus_social,"[('weekend_minus_social', 2)]",3,0.9634676590441676,231484,11614995,90.72527313232422,1.332611083984375,47.034226699965075
diff_weekend_minus_social,"[('weekend_minus_social', 2)]",4,0.9641097956769356,231436,11614995,90.72527313232422,1.332611083984375,37.61734930006787
diff_weekend_minus_social,"[('weekend_minus_social', 2)]",5,0.962895231658176,231622,11615016,90.72543716430664,1.332611083984375,37.35204969998449
gran_screen_minus_social_1,"[('screen_minus_social', 1)]",1,0.9631281469625983,230023,11614995,90.72527313232422,1.3311920166015625,37.24440939980559
gran_screen_minus_social_1,"[('screen_minus_social', 1)]",2,0.9635892353835451,229808,11614995,90.72527313232422,1.3363380432128906,42.068309399997815
gran_screen_minus_social_1,"[('screen_minus_social', 1)]",3,0.9636895096796695,229923,11614995,90.72527313232422,1.3363418579101562,38.501825500046834
gran_screen_minus_social_1,"[('screen_minus_social', 1)]",4,0.964329155800919,229888,11614995,90.72527313232422,1.3363418579101562,46.14470189996064
gran_screen_minus_social_1,"[('screen_minus_social', 1)]",5,0.9631382997889956,230073,11615016,90.72543716430664,1.3363418579101562,39.240092900116
gran_screen_minus_social_3,"[('screen_minus_social', 3)]",1,0.9629701722642239,231163,11614995,90.72527313232422,1.338165283203125,46.376037899870425
gran_screen_minus_social_3,"[('screen_minus_social', 3)]",2,0.9634135152831631,230951,11614995,90.72527313232422,1.3434486389160156,47.50124800018966
gran_screen_minus_social_3,"[('screen_minus_social', 3)]",3,0.9635421967860042,231064,11614995,90.72527313232422,1.3434524536132812,38.424577599857
gran_screen_minus_social_3,"[('screen_minus_social', 3)]",4,0.9641312189981537,231028,11614995,90.72527313232422,1.3434524536132812,38.89116480015218
gran_screen_minus_social_3,"[('screen_minus_social', 3)]",5,0.9629751574428962,231214,11615016,90.72543716430664,1.3434524536132812,38.32253210013732
gran_social_minus_gaming_1,"[('social_minus_gaming', 1)]",1,0.9630362895602299,229998,11614995,90.72527313232422,1.3410797119140625,40.824583400040865
gran_social_minus_gaming_1,"[('social_minus_gaming', 1)]",2,0.9636143188636022,229782,11614995,90.72527313232422,1.3462257385253906,43.13626050017774
gran_social_minus_gaming_1,"[('social_minus_gaming', 1)]",3,0.9636524161289894,229899,11614995,90.72527313232422,1.3462295532226562,40.542148099979386
gran_social_minus_gaming_1,"[('social_minus_gaming', 1)]",4,0.9642714376382977,229863,11614995,90.72527313232422,1.3462295532226562,41.73007839987986
gran_social_minus_gaming_1,"[('social_minus_gaming', 1)]",5,0.9630690321118417,230048,11615016,90.72543716430664,1.3462295532226562,40.640440199989825
gran_social_minus_gaming_3,"[('social_minus_gaming', 3)]",1,0.9629097902996024,230951,11614995,90.72527313232422,1.3476333618164062,47.460288299946114
gran_social_minus_gaming_3,"[('social_minus_gaming', 3)]",2,0.9634692828495586,230734,11614995,90.72527313232422,1.3529052734375,46.863677700050175
gran_social_minus_gaming_3,"[('social_minus_gaming', 3)]",3,0.9635255971816757,230851,11614995,90.72527313232422,1.3529090881347656,36.91434839996509
gran_social_minus_gaming_3,"[('social_minus_gaming', 3)]",4,0.9641015985043464,230813,11614995,90.72527313232422,1.3529090881347656,46.96272239997052
gran_social_minus_gaming_3,"[('social_minus_gaming', 3)]",5,0.9628364259613439,231005,11615016,90.72543716430664,1.3529090881347656,38.4660048999358
inverse_screen_over_work,"[('screen_over_work', 2)]",1,0.9627766349591899,232047,11614995,90.72527313232422,1.3559646606445312,39.11607400001958
inverse_screen_over_work,"[('screen_over_work', 2)]",2,0.963275849823277,231832,11614995,90.72527313232422,1.3611106872558594,49.27229240001179
inverse_screen_over_work,"[('screen_over_work', 2)]",3,0.9633933600524673,231949,11614995,90.72527313232422,1.361114501953125,38.62866710009985
inverse_screen_over_work,"[('screen_over_work', 2)]",4,0.9639645549111809,231917,11614995,90.72527313232422,1.361114501953125,50.353614799911156
inverse_screen_over_work,"[('screen_over_work', 2)]",5,0.9628087565428537,232100,11615016,90.72543716430664,1.361114501953125,39.89829979999922
inverse_screen_over_social,"[('screen_over_social', 2)]",1,0.9628796849476541,234530,11614995,90.72527313232422,1.3589210510253906,38.15392989991233
inverse_screen_over_social,"[('screen_over_social', 2)]",2,0.9633768010432736,234316,11614995,90.72527313232422,1.3640670776367188,48.22114129993133
inverse_screen_over_social,"[('screen_over_social', 2)]",3,0.9634344357321492,234452,11614995,90.72527313232422,1.3640708923339844,48.331823700107634
inverse_screen_over_social,"[('screen_over_social', 2)]",4,0.9640397916504944,234402,11614995,90.72527313232422,1.3640708923339844,38.73372430005111
inverse_screen_over_social,"[('screen_over_social', 2)]",5,0.9629450852753723,234608,11615016,90.72543716430664,1.3640708923339844,47.185669200029224
inverse_screen_over_gaming,"[('screen_over_gaming', 2)]",1,0.9627090717152268,239187,11614995,90.72527313232422,1.36431884765625,48.09178910008632
inverse_screen_over_gaming,"[('screen_over_gaming', 2)]",2,0.9631602729373798,239007,11614995,90.72527313232422,1.3694572448730469,39.31677579996176
inverse_screen_over_gaming,"[('screen_over_gaming', 2)]",3,0.9632265790007628,239090,11614995,90.72527313232422,1.3694686889648438,47.66952409991063
inverse_screen_over_gaming,"[('screen_over_gaming', 2)]",4,0.96380217158117,239073,11614995,90.72527313232422,1.369354248046875,48.71065660007298
inverse_screen_over_gaming,"[('screen_over_gaming', 2)]",5,0.9626711772137158,239238,11615016,90.72543716430664,1.3693428039550781,38.51980240014382
inverse_social_over_work,"[('social_over_work', 2)]",1,0.9628456289279337,231063,11614995,90.72527313232422,1.3702049255371094,38.94061310007237
inverse_social_over_work,"[('social_over_work', 2)]",2,0.9634438279240182,230844,11614995,90.72527313232422,1.3753509521484375,38.469537400174886
inverse_social_over_work,"[('social_over_work', 2)]",3,0.9635254913806056,230967,11614995,90.72527313232422,1.3753547668457031,38.84360129991546
inverse_social_over_work,"[('social_over_work', 2)]",4,0.9640969072290839,230931,11614995,90.72527313232422,1.3753547668457031,44.17795509984717
inverse_social_over_work,"[('social_over_work', 2)]",5,0.9629248116046728,231117,11615016,90.72543716430664,1.3753547668457031,38.49004250019789
inverse_social_over_gaming,"[('social_over_gaming', 2)]",1,0.9627801801830533,234862,11614995,90.72527313232422,1.3736114501953125,48.4083597001154
inverse_social_over_gaming,"[('social_over_gaming', 2)]",2,0.9633171490299194,234652,11614995,90.72527313232422,1.3787574768066406,39.24982009991072
inverse_social_over_gaming,"[('social_over_gaming', 2)]",3,0.96337354201511,234764,11614995,90.72527313232422,1.3787460327148438,47.96304629999213
inverse_social_over_gaming,"[('social_over_gaming', 2)]",4,0.9639293155432818,234706,11614995,90.72527313232422,1.3787460327148438,47.885625900002196
inverse_social_over_gaming,"[('social_over_gaming', 2)]",5,0.962738813710982,234923,11615016,90.72543716430664,1.3787460327148438,48.2142550998833
inverse_work_over_gaming,"[('work_over_gaming', 2)]",1,0.9626922640608326,234932,11614995,90.72527313232422,1.3805122375488281,37.88995230011642
inverse_work_over_gaming,"[('work_over_gaming', 2)]",2,0.9633127424280398,234709,11614995,90.72527313232422,1.3856582641601562,34.18393169995397
inverse_work_over_gaming,"[('work_over_gaming', 2)]",3,0.963268164149386,234802,11614995,90.72527313232422,1.3856620788574219,33.577246099943295
inverse_work_over_gaming,"[('work_over_gaming', 2)]",4,0.9639595650079585,234804,11614995,90.72527313232422,1.3856620788574219,41.013012500014156
inverse_work_over_gaming,"[('work_over_gaming', 2)]",5,0.9627577385945787,235000,11615016,90.72543716430664,1.3856620788574219,40.34845110005699
forward2_screen_minus_work,"[('screen_minus_social', 1), ('screen_minus_work', 2)]",1,0.9629706578835237,231324,12168090,94.94505310058594,1.41766357421875,43.547167000127956
forward2_screen_minus_work,"[('screen_minus_social', 1), ('screen_minus_work', 2)]",2,0.9633760548539527,231109,12168090,94.94505310058594,1.4228096008300781,36.12041540001519
forward2_screen_minus_work,"[('screen_minus_social', 1), ('screen_minus_work', 2)]",3,0.9635104387046315,231218,12168090,94.94505310058594,1.4228134155273438,39.92989609995857
forward2_screen_minus_work,"[('screen_minus_social', 1), ('screen_minus_work', 2)]",4,0.9640736008010516,231187,12168090,94.94505310058594,1.4228134155273438,38.30046239984222
forward2_screen_minus_work,"[('screen_minus_social', 1), ('screen_minus_work', 2)]",5,0.9629721924455142,231367,12168112,94.94522476196289,1.4228134155273438,41.699589899973944
forward2_screen_minus_gaming,"[('screen_minus_gaming', 2), ('screen_minus_social', 1)]",1,0.9629326656580475,231382,12168090,94.94505310058594,1.4207420349121094,40.61162250000052
forward2_screen_minus_gaming,"[('screen_minus_gaming', 2), ('screen_minus_social', 1)]",2,0.9634006344468994,231164,12168090,94.94505310058594,1.4258880615234375,39.73233229992911
forward2_screen_minus_gaming,"[('screen_minus_gaming', 2), ('screen_minus_social', 1)]",3,0.9634732051007368,231282,12168090,94.94505310058594,1.4258918762207031,42.505496099824086
forward2_screen_minus_gaming,"[('screen_minus_gaming', 2), ('screen_minus_social', 1)]",4,0.9640996623701372,231243,12168090,94.94505310058594,1.4258918762207031,38.18613479984924
forward2_screen_minus_gaming,"[('screen_minus_gaming', 2), ('screen_minus_social', 1)]",5,0.9629316621035011,231427,12168112,94.94522476196289,1.4258918762207031,40.22242449992336
forward2_weekend_minus_screen,"[('screen_minus_social', 1), ('weekend_minus_screen', 2)]",1,0.9629148890485301,231393,12168090,94.94505310058594,1.4263229370117188,38.814677300164476
forward2_weekend_minus_screen,"[('screen_minus_social', 1), ('weekend_minus_screen', 2)]",2,0.9633328309304825,231184,12168090,94.94505310058594,1.4314956665039062,41.58235100004822
forward2_weekend_minus_screen,"[('screen_minus_social', 1), ('weekend_minus_screen', 2)]",3,0.9635286712482564,231298,12168090,94.94505310058594,1.4314994812011719,42.663630899973214
forward2_weekend_minus_screen,"[('screen_minus_social', 1), ('weekend_minus_screen', 2)]",4,0.9640937339581427,231262,12168090,94.94505310058594,1.4314994812011719,38.9981619999744
forward2_weekend_minus_screen,"[('screen_minus_social', 1), ('weekend_minus_screen', 2)]",5,0.9630101089416407,231447,12168112,94.94522476196289,1.4314994812011719,40.49169739987701
forward2_social_minus_gaming,"[('screen_minus_social', 1), ('social_minus_gaming', 1)]",1,0.9631310936619436,230138,12168090,94.94505310058594,1.4284858703613281,43.50057809986174
forward2_social_minus_gaming,"[('screen_minus_social', 1), ('social_minus_gaming', 1)]",2,0.9636343112063194,229923,12168090,94.94505310058594,1.4336318969726562,42.83773860009387
forward2_social_minus_gaming,"[('screen_minus_social', 1), ('social_minus_gaming', 1)]",3,0.9637106262539005,230038,12168090,94.94505310058594,1.4336357116699219,39.25458439998329
forward2_social_minus_gaming,"[('screen_minus_social', 1), ('social_minus_gaming', 1)]",4,0.9643490261045125,230003,12168090,94.94505310058594,1.4336357116699219,39.610521599883214
forward2_social_minus_gaming,"[('screen_minus_social', 1), ('social_minus_gaming', 1)]",5,0.9631325806373625,230187,12168112,94.94522476196289,1.4336357116699219,41.894905199995264
forward2_social_minus_work,"[('screen_minus_social', 1), ('social_minus_work', 2)]",1,0.9629720315213965,231237,12168090,94.94505310058594,1.4366912841796875,40.02308249985799
forward2_social_minus_work,"[('screen_minus_social', 1), ('social_minus_work', 2)]",2,0.9633772486046346,231021,12168090,94.94505310058594,1.4418373107910156,46.66907580010593
forward2_social_minus_work,"[('screen_minus_social', 1), ('social_minus_work', 2)]",3,0.9635056525382417,231138,12168090,94.94505310058594,1.4418411254882812,48.532969899941236
forward2_social_minus_work,"[('screen_minus_social', 1), ('social_minus_work', 2)]",4,0.9641835945873192,231106,12168090,94.94505310058594,1.4418411254882812,48.62890460016206
forward2_social_minus_work,"[('screen_minus_social', 1), ('social_minus_work', 2)]",5,0.9629586348008883,231288,12168112,94.94522476196289,1.4418411254882812,47.59767600009218
