iterations,validation_auc,is_checkpoint
309,0.9476609950430029,False
310,0.9477267695638398,False
311,0.9477793473675206,False
312,0.9478163272518231,False
313,0.9478450952478001,False
314,0.9478688246263931,False
315,0.9478820271790999,False
316,0.9478982078923816,False
317,0.9479395345007401,False
318,0.9479768295047764,False
319,0.9480230270218686,False
320,0.9480651563990172,False
321,0.9481051113992596,False
322,0.9481616266772938,False
323,0.9481894787455425,False
324,0.9482045096016317,False
325,0.9482251146771645,False
326,0.9482624388589539,False
327,0.9482970089145686,False
328,0.948332032113375,False
329,0.9483541166278509,False
330,0.9483849082912963,False
331,0.948419178957792,False
332,0.9484478982396073,False
333,0.9484748107842056,False
334,0.9484954260085221,False
335,0.9485126741201287,False
336,0.9485442553589457,False
337,0.9485853008459959,False
338,0.9486236980079413,False
339,0.9486327294105501,False
340,0.9486898787338455,False
341,0.9487043742415949,False
342,0.9487312708018588,False
343,0.948768440214697,False
344,0.9487833881044795,False
345,0.9488002269663837,False
346,0.9488656409516798,False
347,0.9488882669037656,False
348,0.948949439204917,False
349,0.9489842510553032,False
350,0.9490487539335433,False
351,0.9490852426167151,False
352,0.9491154547846118,False
353,0.9491375636561684,False
354,0.9491661933749677,False
355,0.9492031681848784,False
356,0.9492440322624202,False
357,0.9492742969502723,False
358,0.949302692993327,False
359,0.9493581388432795,False
360,0.9494017753148066,False
361,0.9494357179218694,False
362,0.9494545020518881,False
363,0.9494779563984428,False
364,0.9495053735913103,False
365,0.9495358917450353,False
366,0.9495699520779889,False
367,0.9495976049763576,False
368,0.9496138815956452,False
369,0.9496456901672168,False
370,0.9496680306847612,False
371,0.9496857705049379,False
372,0.9497055910794912,False
373,0.9497207470193393,False
374,0.9497552117813232,False
375,0.949771630737302,False
376,0.9497816031858788,False
377,0.9497950120126142,False
378,0.9498189644107287,False
379,0.949847224967521,False
380,0.9498882542165173,False
381,0.9499077804763436,False
382,0.9499169334106371,False
383,0.9500097491119056,False
384,0.9500282896711156,False
385,0.9500355392010275,False
386,0.9500464717245416,False
387,0.950067884896976,False
388,0.9500908170886098,False
389,0.9501066527432459,False
390,0.9501645903733147,False
391,0.9501950897517898,False
392,0.9502426677571839,False
393,0.9502525371956062,False
394,0.950272228626887,False
395,0.9502883786400981,False
396,0.9503223121132555,False
397,0.950347061698329,False
398,0.95036186116215,False
399,0.9503714502404228,False
400,0.9504300790026612,False
401,0.950460735433564,False
402,0.9504896774811814,False
403,0.9505029051521279,False
404,0.9505170241400022,False
405,0.950524167868844,False
406,0.9505359990671542,False
407,0.9505662810079388,False
408,0.9506035402375126,False
409,0.9506542866931758,False
410,0.9506735417267578,False
411,0.9506865329310442,False
412,0.9506935774555254,False
413,0.9507158436332293,False
414,0.9507341761423735,False
415,0.9507655069599528,False
416,0.9508089232028738,False
417,0.9508357175141421,False
418,0.9508603945354123,False
419,0.9508805868091684,False
420,0.9508917616348932,False
421,0.9509240203050217,False
422,0.9509405942836715,False
423,0.9509681302173081,False
424,0.9510179252245,False
425,0.951048544866062,False
426,0.9510741888126987,False
427,0.9510961000366928,False
428,0.951107424049538,False
429,0.9511238587361316,False
430,0.9511632400763756,False
431,0.9511800715804116,False
432,0.951200498291071,False
433,0.9512074007325806,False
434,0.9512229362369389,False
435,0.9512418089150952,False
436,0.9512825494311955,False
437,0.951306129622668,False
438,0.9513106521744015,False
439,0.9513254610258474,False
440,0.9513396675469811,False
441,0.9513643658806971,False
442,0.9513742302447274,False
443,0.9513909881700817,False
444,0.951397818555227,False
445,0.951475877417566,False
446,0.951497687914882,False
447,0.9515221010677762,False
448,0.9515644420470649,False
449,0.9515907393216518,False
450,0.9515968290993071,False
451,0.9516117122905935,False
452,0.9516369538379568,False
453,0.951655829053309,False
454,0.9516732136660563,False
455,0.9516798641640106,False
456,0.9516980847828147,False
457,0.9517181037660892,False
458,0.9517401898028824,False
459,0.9517474588692029,False
460,0.9517730348189888,False
461,0.951794408918606,False
462,0.9518189278725702,False
463,0.9518377789845612,False
464,0.9518835479692619,False
465,0.9519116047892217,False
466,0.9519246949441491,False
467,0.9519353014379871,False
468,0.9519492608362379,False
469,0.951969373442042,False
470,0.9519863414472186,False
